Event Title,Date,Tags,Link,Source,Interest Group,Status
Base Batches 003: Student Track,Live,"Theme, No Restrictions, 1000, Online",https://base-batches-student-track-3.devfolio.co/,Devfolio,Other,🟢 Open
Push to Prod Hackathon with Genspark & Claude,Starts 24/04/26,"Theme, No Restrictions, 500, Offline",https://push-to-prod.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Code for Change 2.0,Starts 10/04/26,"Theme, No Restrictions, 1000, Offline",https://code-for-change-2026.devfolio.co/,Devfolio,Other,🔥 Starting Soon
CODESRIIJAN - National Hackathon on AI for Bharat,Starts 16/04/26,"Theme, No Restrictions, 100, Offline",https://codesriijan.devfolio.co/,Devfolio,AI/ML,🔥 Starting Soon
Off-Grid,Starts 10/04/26,"Theme, No Restrictions, 1000, Offline",https://offgrid.devfolio.co/,Devfolio,Other,🔥 Starting Soon
KJSSE GajShield Hack X,Starts 11/04/26,"Theme, Blockchain, AI/ML, 1000, Offline",https://hack-x.devfolio.co/,Devfolio,AI/ML,🔥 Starting Soon
Ctrl + Build,Starts 06/04/26,"Theme, No Restrictions, 250, Offline",https://ctrl-build.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Hack-Helix,Starts 18/04/26,"Theme, No Restrictions, Offline",https://hackhelix1.devfolio.co/,Devfolio,Entrepreneurship,🔥 Starting Soon
Hacktonix '26,Starts 18/04/26,"Theme, No Restrictions, 1000, Offline",https://hacktonix-26.devfolio.co/,Devfolio,Other,🔥 Starting Soon
SemiXthon,Starts 13/04/26,"Theme, HealthTech, IoT/Hardware, 500, Offline",https://semicon-semixthon.devfolio.co/,Devfolio,IoT & Robotics,🔥 Starting Soon
Hack.IT@BVP3.0,Starts 11/04/26,"Theme, No Restrictions, Offline",https://hackitbvp-2.devfolio.co/,Devfolio,Entrepreneurship,🔥 Starting Soon
NMIT HACKS 2026,Starts 08/05/26,"Theme, No Restrictions, 1000, Offline",https://nmithacks26.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Build Space,Starts 17/04/26,"Theme, No Restrictions, Offline",https://build-space.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Susegad Sprint 2026,Starts 21/04/26,"Theme, No Restrictions, 100, Online",https://susegad-sprint.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Cepheus 2.0,Starts 22/04/26,"Theme, No Restrictions, Offline",https://cepheus-2.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Build with Framework 1.0,Starts 24/04/26,"Theme, No Restrictions, Offline",https://framework.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Locus' Paygentic Hackathon - #1,Starts 10/04/26,"Theme, FinTech, AI/ML, Online",https://paygentic-week1.devfolio.co/,Devfolio,AI/ML,🔥 Starting Soon
HACK HUSTLE 2.0,Starts 29/04/26,"Theme, No Restrictions, 1000, Online",https://hack-hustle.devfolio.co/,Devfolio,Entrepreneurship,🔥 Starting Soon
InOut2k26,Starts 24/04/26,"Theme, Blockchain, AI/ML, IoT/Hardware, Online",https://inout2026.devfolio.co/,Devfolio,AI/ML,🔥 Starting Soon
Athernex,Starts 24/04/26,"Theme, No Restrictions, Offline",https://athernex.devfolio.co/,Devfolio,Other,🔥 Starting Soon
Locus' Paygentic Hackathon - #2,Starts 17/04/26,"Theme, FinTech, AI/ML, Online",https://paygentic-week2.devfolio.co/,Devfolio,AI/ML,🔥 Starting Soon
Hacknovate-7.0,Ended,"2.6, Theme, No Restrictions, 5000, participated, Offline",https://hacknovate07.devfolio.co/,Devfolio,Other,⛔ Closed
DeVQueenss Hackathon,Ended,"Theme, Blockchain, AI/ML, IoT/Hardware, 100, participated",https://devqueenss-hackathon.devfolio.co/,Devfolio,AI/ML,⛔ Closed
BuildfestKashmir,Ended,"Theme, No Restrictions, 100, participated, Offline, See projects",https://buildfestkashmir.devfolio.co/,Devfolio,Other,⛔ Closed
Base Batches 003: Robotics Track,Ended,"Theme, Blockchain, AI/ML, 1000, participated, Online",https://base-batches-robotics-track.devfolio.co/,Devfolio,AI/ML,⛔ Closed
